57FMABBO0200277720325  202 69127164181202
57FMABBO0200277720324  228 68115159201228
57FMABBO0200277720326  245 75135182224245
57FMABBO0200277710327  243 73119144178216243
57FMABBO0200277710328  226 61 88131167200226
57FMABBO0200277720329  234 67109160207234
57FMABBO0200277720330  225 67114161201225
57FMABBO0200277720331  217 67111159187217
57FMABBO0200277720332  207 67113147183207
57FMABBO0200277680333  252 71123142169203227236242252
57FMABBO0200277720334  211 61111152190211
57FMABBO0200277720335  208 72126169196208
57FMABBO0200277720336  215 66126161192215
57FMABBO0200277710337  206 57 88134163187206
57FMABBO0200277720338  225 79123162202225
57FMABBO0200277720339  202 64122151182202
57FMABBO0200277720340  250 65107159217250
57FMABBO0200277720341  202 59119151180202
57FMABBO0200277720342  226 67125170207226
57FMABBO0200277720343  200 56100136173200
57FMABBO0200277720347  198 63 98136175198
57FMABBO0200277720348  221 57 90154199221
57FMABBO0200277720349  222 64106153194222
57FMABBO0200277720350  206 71108152187206
57FMABBO0200277720351  213 65105143186213
57FMABBO0200277720352  224 69123165204224
57FMABBO0200277710353  225 62 92147180208225
57FMABBO0200277720354  220 65107151199220
57FMABBO0200277720355  224 70124167200224
57FMABBO0200277720356  201 83129163185201
57FMABBO0200277720357  217 69108146189217
57FMABBO0200277720358  221 70128162196221
57FMABBO0200277720359  217 68127167202217
57FMABBO0200277720360  205 71118162196205
57FMABBO0200277720361  224 64121165203224
57FMABBO0200277720362  223 85135177207223
57FMABBO0200277720363  221 67122158198221
57FMABBO0200277730364  206 68125172206
57FMABBO0200277720405  218 74130173205218
57FMABBO0200277720406  217 66120151192217
57FMABBO0200277720407  210 61 98155196210
57FMABBO0200277720408  223 78130170202223
57FMABBO0200277720409  216 57 96132187216
57FMABBO0200277730410  184 63 99158184
57FMABBO0200277720344  211 66117156189211
57FMABBO0200277720345  166 66101126152166
57FMABBO0200277720346  195 70121153180195
57FMABBO0200277670365  239 65 83109130156180200215230239
57FMABBO0200277720366  205 71126160189205
57FMABBO0200277720367  216 56 83128183216
57FMABBO0200277720368  203 79124159185203
57FMABBO0200277720369  211 84136167191211
57FMABBO0200277720370  218 61125163198218
57FMABBO0200277720371  204 62109149180204
57FMABBO0200277680372  231 67 91105124143175203223231
57FMABBO0200277720373  225 69124169203225
57FMABBO0200277720374  209 61113157190209
57FMABBO0200277720375  205 69125161189205
57FMABBO0200277720376  193 62118157185193
57FMABBO0200277720377  212 76110151186212
57FMABBO0200277720378  195 67116149177195
57FMABBO0200277720379  191 61106152181191
57FMABBO0200277720380  189 66105145171189
57FMABBO0200277720381  202 67104144176202
57FMABBO0200277720382  202 69113146179202
57FMABBO0200277700383  233 62 93131158193205233
57FMABBO0200277720384  212 63108148189212
57FMABBO0200277720385  225 76122166204225
57FMABBO0200277720386  211 66122161195211
57FMABBO0200277720387  203 61102131173203
57FMABBO0200277720388  214 71111154186214
57FMABBO0200277720389  197 69125149190197
57FMABBO0200277720390  215 58 96145187215
57FMABBO0200277720391  199 64114147186199
57FMABBO0200277720392  229 76118173206229
57FMABBO0200277720393  210 67125155188210
57FMABBO0200277710394  230 65122165192212230
57FMABBO0200277720395  205 65120151183205
57FMABBO0200277720396  199 66114160181199
57FMABBO0200277690397  220 62 87115148164180201220
57FMABBO0200277720398  210 67 98144192210
57FMABBO0200277710399  216 62107149181210216
57FMABBO0200277720400  232 67124175216232
57FMABBO0200277720401  200 61120152187200
57FMABBO0200277720402  216 71128170202216
57FMABBO0200277720403  204 68115154185204
57FMABBO0200277720404  199 67119158182199
