57FMABBO0200180750198  198 72105141169198
57FMABBO0200180740199  221 74114153171197221
57FMABBO0200180740200  206 66110144169185206
57FMABBO0200180740201  237 78111155191214237
57FMABBO0200180740202  199 74127157172182199
57FMABBO0200180740203  198 54 80121151172198
57FMABBO0200180740204  219 71127163183202219
57FMABBO0200180740205  183 59 83111144162183
57FMABBO0200180740206  190 65100130156170190
57FMABBO0200180720207  242 71111155188212224234242
57FMABBO0200180740208  205 62111151175189205
57FMABBO0200180750209  179 70107135154179
57FMABBO0200180750210  203 75113146173203
57FMABBO0200180740211  225 73116159186206225
57FMABBO0200180720212  245 73107153200220230237245
57FMABBO0200180750213  189 64113141166189
57FMABBO0200180730214  250 63 90139170198227250
