"","year","area","mean_temp"
"225",2008,"RA",16.7910180952727
"226",2008,"SI_EK",16.7703914297868
"227",2008,"SI_HA",23.7885259399668
"228",2009,"BT",23.4588707571069
"229",2009,"FB",17.5260951775508
"230",2009,"FM",17.3401856928578
"231",2009,"HO",16.1533479269016
"232",2009,"JM",18.5380088503761
"233",2009,"MU",15.9882017673587
"234",2009,"RA",16.7959677001849
"235",2009,"SI_EK",16.7833703631449
"236",2009,"SI_HA",23.5052308302811
"237",2009,"VN",10.390051511306
"238",2010,"BT",23.368891945466
"239",2010,"FB",17.5202795520113
"240",2010,"FM",17.2920845956405
"241",2010,"HO",16.5949618340744
"242",2010,"JM",18.4582265995745
"243",2010,"MU",16.2461246565069
"244",2010,"RA",16.800915624365
"245",2010,"SI_HA",23.0453496378737
"246",2011,"FB",17.5097509526686
"247",2011,"FM",17.3116871085648
"248",2011,"HO",16.9630575962034
"249",2011,"JM",18.3980927113685
"250",2011,"MU",16.3170583862372
"251",2011,"RA",16.805860909947
"252",2011,"SI_EK",16.5923401935363
"253",2011,"SI_HA",22.4623031790134
"254",2011,"TH",15.5043670750971
"255",2012,"BT",23.2735999878324
"256",2012,"FB",17.4789874041523
"257",2012,"FM",17.4005403901036
"258",2012,"HO",17.1075901469518
"259",2012,"JM",18.3727766380129
"260",2012,"MU",16.2806921221488
"261",2012,"SI_EK",16.4906205939674
"262",2012,"SI_HA",21.8349390297935
"263",2012,"TH",13.9069024036368
"264",2013,"BT",23.34115727905
"265",2013,"FB",17.4258701460682
"266",2013,"FM",17.5476960453561
"267",2013,"HO",17.0161029927564
"268",2013,"JM",18.3905728533904
"269",2013,"MU",16.2300932727955
"270",2013,"RA",16.8157412849894
"271",2013,"SI_EK",16.4504427388349
"272",2013,"SI_HA",21.2584851126502
"273",2013,"TH",16.9791937851557
"274",2014,"BT",23.4895007940067
"275",2014,"FB",17.3663705556604
"276",2014,"FM",17.7313803362781
"277",2014,"HO",16.8100040313708
"278",2014,"JM",18.4522017755179
"279",2014,"MU",16.199747379185
"280",2014,"RA",16.8206763136336
"281",2014,"SI_EK",16.5062810962177
"282",2014,"SI_HA",20.8323378191562
"283",2014,"TH",18.1027792285319
"284",2015,"FB",17.3329015183503
"285",2015,"FM",17.9231614868061
"286",2015,"JM",18.5516452549085
"287",2015,"MU",16.1566276362571
"288",2015,"RA",16.8256085722712
"289",2015,"SI_EK",16.6751741949395
"290",2015,"SI_HA",20.64637190581
"291",2015,"TH",17.5140467416065
"292",2016,"FB",17.366710231582
"293",2016,"FM",18.0937874524543
"294",2016,"HO",16.7204647867217
"295",2016,"JM",18.6782418837257
"296",2016,"MU",16.061411413815
"297",2016,"RA",16.8305389284808
"298",2016,"SI_EK",16.9567884707074
"299",2016,"SI_HA",20.767877892748
"300",2016,"TH",17.9617599784985
"301",2017,"FB",17.5065902550123
"302",2017,"FM",18.2193320803613
"303",2017,"HO",16.9316545816507
"304",2017,"JM",18.8195123750026
"305",2017,"MU",15.9596098667678
"306",2017,"RA",16.8354683234197
"307",2017,"SI_EK",17.3369528373553
"308",2017,"SI_HA",21.2313470218295
"309",2017,"TH",14.8330618942424
"310",2018,"FB",17.7774227849232
"311",2018,"FM",18.2860864087909
"312",2018,"HO",17.0884397039896
"313",2018,"JM",18.9640492413168
"314",2018,"MU",16.0354571021305
"315",2018,"RA",16.8403975772749
"316",2018,"SI_EK",17.7932890476811
"317",2018,"SI_HA",22.0330906252332
"318",2019,"BT",24.046713583265
"319",2019,"FB",18.1822652382033
"320",2019,"FM",18.2928518528041
"321",2019,"HO",16.8658373940922
"322",2019,"JM",19.1038113339062
"323",2019,"MU",16.5717737609955
"324",2019,"RA",16.845327240024
"325",2019,"SI_EK",18.301262651668
"326",2019,"SI_HA",23.1321224214708
"327",2020,"BT",23.8945841217577
"328",2020,"JM",19.2353033370134
"329",2020,"MU",17.8083347088684
"330",2020,"SI_EK",18.8391552869608
"331",2020,"SI_HA",24.4579401086485
"332",2021,"BT",23.6695669457943
"333",2021,"MU",19.764737845471
"334",2021,"SI_HA",25.9249661539448
"335",2022,"BT",23.410234587519
"336",2022,"FM",18.0855792994336
"337",2022,"MU",22.1652031717383
"338",2022,"SI_HA",27.4526317942267
